first_name,last_name,email,School,Signed_DBA ,phone_number 
Martha,Calliss,mcalliss8c@google.com,Universidad Autónoma Latinoamericana,No,43-287-4947
Ines,Birk,ibirk8d@paypal.com,Escuela Nacional de Estudios Superiores Unidad León,Yes,86-627-7191
Nert,Allawy,nallawy8e@hhs.gov,Hahnamann Honoeopathic Medical College,Yes,21-101-2200
Ardyce,Bourne,abourne8f@unesco.org,Krasnoyarsk State Technical University,Yes,77-524-7061
Abel,Gruczka,agruczka8g@china.com.cn,United States Naval Academy,Yes,06-531-2382
Connor,Cowitz,ccowitz8h@umn.edu,Lithunian Institute of Physical Education,No,87-294-3268
Helge,Giacobazzi,hgiacobazzi8i@yale.edu,Southwestern College Kansas,No,97-961-3905
Mannie,Fullilove,mfullilove8j@patch.com,Florida Institute of Technology,Yes,33-487-4152
Gary,Maharey,gmaharey8k@hostgator.com,Ho Chi Minh City University of Natural Sciences,Yes,04-728-7615
Chantalle,Jenney,cjenney8l@utexas.edu,University of San Diego,No,58-655-0304
Crosby,Goodoune,cgoodoune8m@icio.us,Saratov State Medical University,Yes,27-646-1535
Georgi,Akast,gakast8n@dell.com,Angeles University,Yes,14-305-8348
Alf,Pedlingham,apedlingham8o@vinaora.com,Wakkanai Hokusei Gakuen University,No,02-021-3363
Christopher,Bratch,cbratch8p@soundcloud.com,The College of The Bahamas,No,21-632-7377
Zola,Atwill,zatwill8q@meetup.com,Pangasinan State University,No,63-349-5412
Patsy,Joddens,pjoddens8r@soup.io,Universidad Autónoma Metropolitana - Xochimilco,No,79-405-3068
Florence,Hamon,fhamon8s@npr.org,Brandeis University,No,99-775-6957
Putnam,Sallarie,psallarie8t@craigslist.org,Menoufia University,Yes,62-763-0875
Kendre,Linde,klinde8u@harvard.edu,National Research University of Electronic Technology,No,75-418-3354
Quinn,Douglas,qdouglas8v@webmd.com,Buena Vista University,No,44-422-1253
Salvatore,Leathart,sleathart8w@facebook.com,New Bulgarian University,Yes,60-565-8756
Dael,Bendixen,dbendixen8x@state.tx.us,University of Da Lat,No,86-190-6807
Ian,Silk,isilk8y@dmoz.org,Saga Medical School,No,43-795-0380
Eduardo,Straniero,estraniero8z@virginia.edu,LICCSAL Business College,Yes,57-963-4518
Violette,Leggott,vleggott90@angelfire.com,Coker College,Yes,37-208-4612
Frannie,Jansema,fjansema91@ocn.ne.jp,University of Medicine and Pharmacy of Iasi,No,56-745-0921
Kimberlyn,Gurnee,kgurnee92@ocn.ne.jp,Menoufia University,No,42-885-0966
Noel,Reeman,nreeman93@surveymonkey.com,Rheinisch Westfälische Technische Hochschule Aachen,Yes,05-276-3143
Marlie,Jorissen,mjorissen94@pbs.org,Southern Wesleyan University,Yes,34-090-2636
Trumann,Gallally,tgallally95@rambler.ru,Simpson College Iowa,Yes,38-764-1834
Jo,Douglass,jdouglass96@51.la,Oita University,Yes,82-671-9054
Ulric,Satteford,usatteford97@skyrock.com,Tokyo Metropolitan University,Yes,09-702-1948
Crystie,Doorey,cdoorey98@kickstarter.com,Prague International University,Yes,43-540-0152
Phineas,Eloy,peloy99@google.it,Universidade Autónoma de Lisboa Luís de Camoes,No,08-047-3632
Piggy,Roder,proder9a@wikia.com,National Academy for Physical Education and Sports Bucharest,No,43-914-3707
Pablo,Denyukin,pdenyukin9b@amazon.de,Universidad de Celaya,No,50-883-3526
Shannen,Tarbard,starbard9c@pagesperso-orange.fr,High Point University,No,77-080-9258
Coral,Daudray,cdaudray9d@columbia.edu,William and Catherine Booth College,No,90-184-3846
Barbie,Drissell,bdrissell9e@de.vu,Yonsei University,Yes,81-743-1933
Flor,Theyer,ftheyer9f@drupal.org,"Veliko Turnovo University ""Cyril and Methodius""",No,07-219-0546
Lin,Nutbrown,lnutbrown9g@altervista.org,Holy Names College,Yes,19-215-8314
Virgie,Le Breton De La Vieuville,vlebretondelavieuville9h@blog.com,Universidad del Mayab,Yes,03-112-3986
Udall,Santora,usantora9i@pagesperso-orange.fr,John Brown University,No,39-545-0627
Rahal,Bruty,rbruty9j@google.co.uk,Universidad de Montemorelos,Yes,49-325-8582
Astrid,Blazek,ablazek9k@cocolog-nifty.com,University of Technology,Yes,43-030-9338
Nancey,Riveles,nriveles9l@addtoany.com,Al-Ahliyya Amman University,Yes,51-014-5148
Osborne,Ruckman,oruckman9m@omniture.com,Universidade Estadual do Maranhão,Yes,67-520-1958
Ernestine,Rawlyns,erawlyns9n@is.gd,Facultés Universitaires Saint-Louis,No,21-795-2423
Caro,Zeplin,czeplin9o@cnet.com,Kingston College,Yes,97-238-6833
Stern,Landsbury,slandsbury9p@usa.gov,University of Zambia,Yes,78-540-0151
Gualterio,Kinner,gkinner9q@ucsd.edu,Hasselt University,No,34-838-9285
Godfry,Cuffley,gcuffley9r@indiegogo.com,Konan University,Yes,25-488-5706
Cornall,Pawelec,cpawelec9s@wsj.com,Universidad Nueva Esparta,No,64-844-4323
Kelwin,Girodias,kgirodias9t@pinterest.com,Universidad Privada Abierta Latinoamericana,No,57-550-9218
Claresta,Berick,cberick9u@homestead.com,Jadavpur University,No,13-277-0049
Alistair,Duffell,aduffell9v@meetup.com,"Federal University of Technology, Minna",Yes,58-560-0375
Bartram,Szreter,bszreter9w@tinyurl.com,University of New Hampshire,No,99-322-4057
Liliane,Accomb,laccomb9x@paginegialle.it,University of San Marino,No,80-564-6959
Alexine,McIlmorow,amcilmorow9y@wisc.edu,University of Sadat City,No,26-571-1322
Julina,Eck,jeck9z@edublogs.org,LICCSAL Business College,No,60-623-0476
Bary,Sweynson,bsweynsona0@mozilla.org,Technische Universität München,No,38-699-0668
Jocelyn,Smethurst,jsmethursta1@histats.com,Moscow State University,Yes,71-373-9374
Mack,Iacabucci,miacabuccia2@stumbleupon.com,Nangarhar University,Yes,89-683-3365
Paolo,Minerdo,pminerdoa3@mozilla.com,University of West Bohemia,Yes,05-945-8571
Aubine,Aphale,aaphalea4@smh.com.au,Komsomolsk-on-Amur State Technical University,No,79-061-0529
Johan,Hakey,jhakeya5@mlb.com,"University of Education, Winneba",No,88-986-5752
Siouxie,Bartels-Ellis,sbartelsellisa6@berkeley.edu,Chongqing Vocational College of Public Transportation,No,71-728-3628
Jannel,Le Grand,jlegranda7@wsj.com,Ittihad Private University,No,33-120-3271
Jacquetta,Euler,jeulera8@irs.gov,Wittenberg University,Yes,64-811-3069
Lacie,Ishchenko,lishchenkoa9@cam.ac.uk,Okayama Shoka University,Yes,59-150-0174
Cicely,Plascott,cplascottaa@cbc.ca,Nagoya Economics University,No,28-226-5476
Tris,MacRonald,tmacronaldab@salon.com,Shandong University of Triaditional Chinese Medicine,Yes,82-890-6948
Pet,Echallie,pechallieac@xinhuanet.com,Universidad de Hermosillo,Yes,63-948-9601
Alfreda,Jillins,ajillinsad@patch.com,Hiroshima City University,Yes,07-749-6515
Caitrin,Fortin,cfortinae@biglobe.ne.jp,University of Dubuque,Yes,10-586-6133
Arte,Olander,aolanderaf@cafepress.com,Institute of Paper Science and Technology,Yes,36-684-2351
Chanda,Bartosiak,cbartosiakag@eventbrite.com,Kitasato University,No,22-260-3596
Georgie,Sines,gsinesah@friendfeed.com,Lamar University - Port Arthur,No,44-859-5051
Danyette,Thirlwell,dthirlwellai@ocn.ne.jp,Universitas Andalas,Yes,62-519-3774
Ringo,Abley,rableyaj@house.gov,Ecole Nationale Supérieur des Ingénieur des Etudes et Techniques d'Armement,No,15-658-6595
Packston,Moulson,pmoulsonak@nps.gov,Universidad Metropolitana Castro Carazo,Yes,26-596-3216
Gian,Philliphs,gphilliphsal@360.cn,The Robert Gordon University,Yes,24-764-9685
Dorey,Epilet,depiletam@indiegogo.com,University of Central Arkansas,No,32-394-2576
Hermann,Chown,hchownan@newyorker.com,Beder University,Yes,87-893-0774
Anselm,Duffrie,aduffrieao@berkeley.edu,Bharathiar University,No,44-604-3409
Ginevra,Bridal,gbridalap@mozilla.com,Smolny University,No,98-338-1823
Herman,Whitelaw,hwhitelawaq@infoseek.co.jp,Molde University College,No,27-914-9685
Gussi,Gilardone,ggilardonear@sbwire.com,Tokyo Women's College of Physical Education,No,92-544-4351
Carmelita,Argontt,cargonttas@discovery.com,Scripps College,Yes,97-225-0057
Alejandro,Allon,aallonat@wordpress.org,Rockhurst College,No,86-781-2903
Clifford,Hellwig,chellwigau@google.de,Osaka University of Economics & Law,Yes,18-086-5992
Elli,Huskinson,ehuskinsonav@hatena.ne.jp,Universidad Cuauhtémoc,No,50-116-1699
Bogart,Mallord,bmallordaw@topsy.com,"Courtauld Institute of Art, University of London",No,50-458-9866
Brigit,Wheble,bwhebleax@jalbum.net,Fundación Universitaria Manuela Beltrán,Yes,84-737-4870
Milton,Stoodale,mstoodaleay@goodreads.com,Ecole Nationale Supérieure de Physique de Marseille,Yes,79-916-7013
Sheff,Oglesbee,soglesbeeaz@google.co.uk,University of Cyprus,Yes,52-002-0184
Blanch,Pridie,bpridieb0@wikipedia.org,Fundación Universitaria de Boyacá,No,58-882-3046
Cull,Rawnsley,crawnsleyb1@chronoengine.com,University of Maryland at College Park,Yes,47-169-3850
Maryellen,Doughartie,mdoughartieb2@zdnet.com,"Universidad de Puerto Rico, Ponce",Yes,12-864-6630
Laurice,Vogel,lvogelb3@ibm.com,Shujitsu Women's University,Yes,90-330-9955
Allen,Arend,aarendb4@yahoo.co.jp,Gdynia Maritime Academy,Yes,44-176-2887
Vail,Croce,vcroceb5@histats.com,University of Macau,No,42-529-3776
Gertrude,Lefwich,glefwichb6@google.nl,University of Art and Design Helsinki,No,22-215-5821
Jobi,Pluthero,jplutherob7@bbb.org,University of Pangasinan,No,68-903-1704
Lotti,Sewart,lsewartb8@list-manage.com,Universidad Fundepos Alma Mater,Yes,15-383-0625
Jamey,Minithorpe,jminithorpeb9@google.de,University of Oregon,No,40-288-4173
Rosemary,Allman,rallmanba@artisteer.com,Universidad Autónoma Juan Misael Saracho,Yes,21-204-1983
Ashlin,Bernardino,abernardinobb@discuz.net,Ahmedabad University,Yes,46-734-4701
Con,Berntsson,cberntssonbc@ask.com,Mars Hill College,Yes,46-882-0246
Dimitri,Berryann,dberryannbd@ebay.com,Primier International University Perak,Yes,72-196-8154
Janka,Boow,jboowbe@instagram.com,Universidad del Centro de México,Yes,62-981-4734
Giavani,Lindgren,glindgrenbf@plala.or.jp,Seinan Gakuin University,Yes,06-787-7965
Risa,Sheer,rsheerbg@wordpress.org,Science University of Tokyo in Yamaguchi,No,58-859-5646
Dane,Kitchingham,dkitchinghambh@yellowbook.com,Kyoto City University of Arts,No,79-129-8461
Eddie,Girard,egirardbi@oaic.gov.au,University of Texas at Brownsville,Yes,34-039-8449
Marshall,Worham,mworhambj@mtv.com,Agricultural-Technical Academy in Olsztyn,Yes,77-464-4430
Elbertina,Souter,esouterbk@4shared.com,Kilis 7 Aralık University,No,38-658-7964
Grove,Cornforth,gcornforthbl@instagram.com,Breyer State University (Virtual University),No,30-489-7244
Dan,Gooms,dgoomsbm@pagesperso-orange.fr,University of Sharjah,No,22-283-6540
Elvyn,Bury,eburybn@ihg.com,University of St. Gallen,No,43-168-8918
Dawna,Jeanet,djeanetbo@sina.com.cn,Chonnam National University,No,16-883-6386
Hercule,Skirling,hskirlingbp@myspace.com,Nagoya University,Yes,87-233-5936
Rhodia,McTavy,rmctavybq@disqus.com,Mount Vernon Nazarene College,No,27-193-0280
Markos,Kolakowski,mkolakowskibr@webs.com,Rajasthan Technical University,Yes,32-732-9158
Farlee,Dandy,fdandybs@scientificamerican.com,Bellarmine College,No,95-076-2749
Nola,Cardenoza,ncardenozabt@wiley.com,Tunku Abdul Rahman University (Chinese University),Yes,05-388-2302
Margie,Copnar,mcopnarbu@pinterest.com,University of Akureyri,No,47-330-5260
Rhys,Challener,rchallenerbv@flickr.com,International University of Travnik,Yes,48-098-4651
Valerye,Trewhela,vtrewhelabw@naver.com,Tufts University,Yes,78-142-7658
Opaline,Purrier,opurrierbx@bigcartel.com,Korea National University of Education,Yes,15-873-1119
Melody,Vance,mvanceby@ocn.ne.jp,Anderson College,Yes,37-749-8145
Linoel,Saunderson,lsaundersonbz@yandex.ru,Bank Street College of Education,No,33-851-2228
Reggy,Moiser,rmoiserc0@cisco.com,Universiti Industri Selangor,No,41-627-2369
Blanch,Dietzler,bdietzlerc1@infoseek.co.jp,Valahia University of Targoviste,Yes,76-676-3610
Torre,Vigors,tvigorsc2@sohu.com,National Chung Cheng University,No,87-723-7584
Benji,MacCorley,bmaccorleyc3@wp.com,Universidad de las Américas (ULAM),Yes,48-972-6770
Barbi,Purbrick,bpurbrickc4@yandex.ru,Wolaita Sodo University,Yes,03-303-6038
Dorine,Dowsett,ddowsettc5@woothemes.com,Heisei International University,Yes,31-423-1575
Sharlene,Deery,sdeeryc6@mail.ru,Institut Supérieure d'Electronique de Paris,No,57-658-1053
Locke,Writtle,lwrittlec7@miitbeian.gov.cn,Kendall College of Art and Design,No,49-726-0046
Rollo,Soigoux,rsoigouxc8@tiny.cc,University of Wisconsin - La Crosse,Yes,01-061-7257
Nance,Hanstock,nhanstockc9@ucoz.com,Ecole Supérieure de Commerce de Lyon,No,07-331-6769
Normand,Seager,nseagerca@foxnews.com,International Ataturk Alatoo University,No,78-058-7543
Dud,Mostyn,dmostyncb@blog.com,Ruprecht-Karls-Universität Heidelberg,Yes,39-336-3542
Derron,Dennett,ddennettcc@topsy.com,Aventis School of Management,Yes,97-920-8030
Isabel,Pillman,ipillmancd@odnoklassniki.ru,Universidad Agroforestal Fernando A.Meriño,Yes,22-875-6437
Faith,Brogiotti,fbrogiottice@networksolutions.com,Kyushu University,No,49-738-8632
Julius,Friel,jfrielcf@reference.com,University of Tampa,No,41-082-5978
Tommie,Gilroy,tgilroycg@usatoday.com,"Islamic Azad University, Gorgan",No,19-389-1210
Carmine,Nouch,cnouchch@macromedia.com,Egerton University,No,20-853-9771
Mart,Bogaert,mbogaertci@chron.com,Universidad Peruana de Ciencias e Informática,No,16-817-2222
Agnella,Copper,acoppercj@seesaa.net,"Troy University, Montgomery",No,71-662-7673
Ruddy,Mc Queen,rmcqueenck@sohu.com,St. Augustine University of Tanzania,No,06-571-5954
Alfred,Berthome,aberthomecl@cnn.com,Bangalore University,No,12-422-9809
Bambi,Searight,bsearightcm@a8.net,Chengdu Institute of Sichuan International Studies University,Yes,85-999-6265
Rosene,Westwood,rwestwoodcn@mapy.cz,University of Warwick,Yes,38-253-5963
Seumas,Borthe,sbortheco@tamu.edu,Medical College of Ohio,Yes,93-062-0748
Cristabel,Savell,csavellcp@sourceforge.net,Sabzevar Teacher Training University,No,98-610-1483
Valentin,Cuncarr,vcuncarrcq@gizmodo.com,Yemenia University,No,06-386-0801
Lori,Eveque,levequecr@comsenz.com,Franklin and Marshall College,No,84-913-0201
Gaylene,Clausson,gclaussoncs@senate.gov,Florida Agricultural and Mechanical University,Yes,89-154-1941
Minda,Cradick,mcradickct@etsy.com,University of Bergamo,No,15-038-0746
Shaina,Sissons,ssissonscu@barnesandnoble.com,Southern Wesleyan University,Yes,86-189-7963
Kaile,Exer,kexercv@mayoclinic.com,Kandahar University,Yes,74-081-8049
Marketa,Furmston,mfurmstoncw@china.com.cn,Tafila Technical University ,No,84-168-9794
Monica,Beavis,mbeaviscx@tiny.cc,Sindh Madressatul Islam University,No,79-379-9723
Lodovico,Cruttenden,lcruttendency@reddit.com,Hungarian Academy of Fine Arts Budapest,No,83-557-3245
Ted,Guiel,tguielcz@mozilla.org,Morrison College,No,92-800-6592
Aimee,Vasnev,avasnevd0@csmonitor.com,Central Institute of English and Foreign Languages,Yes,24-732-0657
Gabriell,Bollen,gbollend1@senate.gov,Australian Defence Force Academy,Yes,35-798-8948
Linnie,Dunkerley,ldunkerleyd2@omniture.com,Fielding Institute,Yes,08-244-5641
Uri,Will,uwilld3@freewebs.com,Universidade de Tras-os-Montes e Alto Douro,No,71-299-9886
Georges,Culverhouse,gculverhoused4@paypal.com,Uganda Martyr's University,No,90-373-3324
Darryl,Grandin,dgrandind5@hp.com,University of Chemical Technology and Metallurgy,Yes,34-700-2786
Adlai,Brideau,abrideaud6@blogtalkradio.com,"California State University, Los Angeles",Yes,41-450-7157
Kenna,Gotecliffe,kgotecliffed7@unc.edu,Pyongyang University of Science and Technology,Yes,96-623-6640
Beryl,Fellgatt,bfellgattd8@weebly.com,Technical University of Lodz,Yes,67-109-6579
Ivette,Gabotti,igabottid9@flavors.me,University of Ilorin,Yes,40-674-9588
Roy,Jozefowicz,rjozefowiczda@multiply.com,Karachi Institute of Information Technology,Yes,92-200-2764
Nelson,Tattam,ntattamdb@google.fr,Thi Qar University,No,65-286-5277
Henriette,Josephsen,hjosephsendc@cocolog-nifty.com,Politeknik Negeri Bandung,Yes,39-460-7382
Phelia,Philimore,pphilimoredd@4shared.com,East Stroudsburg State University,No,11-187-3638
Nancy,Gallant,ngallantde@people.com.cn,Tokyo University of Agriculture,Yes,67-332-7028
Wilt,Coffin,wcoffindf@huffingtonpost.com,Warsaw School of Information Technology,No,87-145-7778
Thurstan,Leamy,tleamydg@tripod.com,Penang International Dental College,Yes,39-595-0590
Any,Piecha,apiechadh@51.la,Central Ostrobothnia University of Applied Sciences,Yes,10-891-9258
Samantha,Bowring,sbowringdi@usa.gov,"St.Patrick's International College, London",No,21-407-6417
Horacio,Tasseler,htasselerdj@mail.ru,University of Macerata,Yes,82-761-6185
Emmalee,Cumo,ecumodk@etsy.com,Chongqing Three Gorges University,No,01-759-0288
Kial,Huie,khuiedl@spotify.com,Wolkite University,Yes,90-914-0117
Phoebe,Warrillow,pwarrillowdm@mail.ru,Clarion University,No,07-516-7241
Vilhelmina,Tillard,vtillarddn@youtu.be,Dongguk University,No,15-910-2104
Orbadiah,Macconaghy,omacconaghydo@51.la,Universidad Cristiana de las Asambleas de Dios,Yes,23-645-1298
Mayor,Cathie,mcathiedp@noaa.gov,Helsinki School of Economics and Business Administration,Yes,32-978-1553
Ginger,Gouny,ggounydq@theglobeandmail.com,University of Pecs,Yes,54-624-4687
Jermaine,Antalffy,jantalffydr@yolasite.com,Menlo College,Yes,45-663-6535
Cobby,Moncreiffe,cmoncreiffeds@cam.ac.uk,Universidad Autónoma de Manizales,No,12-345-9203
Tymon,Kohnemann,tkohnemanndt@intel.com,Université d'Evry Val d'Essonne,No,70-465-6688
Christen,Beckett,cbeckettdu@howstuffworks.com,Technological University (Taungoo),No,36-015-9343
Wilden,Mulbery,wmulberydv@nifty.com,Universidad Valle del Grijalva,Yes,68-912-8219
